Fecha;Indicador_600;Indicador_612;Indicador_613;Indicador_614;Indicador_1727
2023-01-01 00:00:00+00:00;-1.46;0.0;0.0;-5.18;-0.45
2023-01-01 01:00:00+00:00;-1.52;0.0;-1.0;-5.46;-0.95
2023-01-01 02:00:00+00:00;-5.0;-0.05;-2.0;-7.99;-3.34
2023-01-01 03:00:00+00:00;-4.6;-0.2;-2.0;-7.99;-2.87
2023-01-01 04:00:00+00:00;-4.05;-1.0;-3.0;-8.1;-3.27
2023-01-01 05:00:00+00:00;-3.6;0.0;-2.0;-9.15;-3.9
2023-01-01 06:00:00+00:00;0.0;-1.0;-3.0;-7.99;-3.2
2023-01-01 07:00:00+00:00;0.0;-1.0;-5.0;-8.1;-1.18
2023-01-01 08:00:00+00:00;0.0;-6.1;-3.0;-9.15;-2.45
2023-01-01 09:00:00+00:00;0.99;-5.0;-3.0;-8.1;-2.74
2023-01-01 10:00:00+00:00;0.58;-0.5;-0.97;-7.99;-2.48
2023-01-01 11:00:00+00:00;0.04;0.0;0.0;-7.19;-5.37
2023-01-01 12:00:00+00:00;0.0;0.0;0.0;-5.46;-9.88
2023-01-01 13:00:00+00:00;0.85;0.0;0.0;-5.18;-8.85
2023-01-01 14:00:00+00:00;23.53;0.0;0.0;-5.46;-9.69
2023-01-01 15:00:00+00:00;36.54;0.0;0.0;0.0;-6.44
2023-01-01 16:00:00+00:00;46.03;0.0;0.0;0.0;-9.17
2023-01-01 17:00:00+00:00;99.9;0.6;0.0;0.0;6.25
2023-01-01 18:00:00+00:00;54.95;14.51;1.26;14.51;8.33
2023-01-01 19:00:00+00:00;62.0;14.79;14.0;19.61;27.78
2023-01-01 20:00:00+00:00;52.93;12.0;5.15;0.0;19.93
2023-01-01 21:00:00+00:00;45.96;7.5;0.0;0.0;41.97
2023-01-01 22:00:00+00:00;35.0;0.8;0.0;0.0;6.28
2023-01-01 23:00:00+00:00;109.9;61.38;66.38;59.0;58.36
2023-01-02 00:00:00+00:00;94.9;42.17;47.17;42.17;36.9
2023-01-02 01:00:00+00:00;52.93;42.0;42.0;42.0;24.67
2023-01-02 02:00:00+00:00;44.16;42.07;42.08;43.07;25.35
2023-01-02 03:00:00+00:00;50.08;42.17;48.5;49.0;41.29
2023-01-02 04:00:00+00:00;77.09;63.22;63.22;63.22;54.11
2023-01-02 05:00:00+00:00;105.08;85.0;97.75;86.94;84.8
2023-01-02 06:00:00+00:00;140.64;105.86;121.16;107.47;104.74
2023-01-02 07:00:00+00:00;162.44;131.1;150.65;133.62;129.74
2023-01-02 08:00:00+00:00;180.0;132.58;151.32;134.21;131.31
2023-01-02 09:00:00+00:00;145.61;128.0;146.05;129.54;128.06
2023-01-02 10:00:00+00:00;143.35;127.07;144.98;128.59;127.17
2023-01-02 11:00:00+00:00;144.38;128.0;146.05;129.54;128.84
2023-01-02 12:00:00+00:00;143.76;131.0;149.5;129.9;134.04
2023-01-02 13:00:00+00:00;148.2;132.0;150.65;130.85;129.52
2023-01-02 14:00:00+00:00;155.34;129.0;147.2;128.0;130.73
2023-01-02 15:00:00+00:00;164.0;132.88;151.66;134.52;142.32
2023-01-02 16:00:00+00:00;185.68;160.0;184.0;163.2;175.42
2023-01-02 17:00:00+00:00;174.74;175.74;200.95;178.23;185.36
2023-01-02 18:00:00+00:00;169.9;165.76;190.62;170.76;175.34
2023-01-02 19:00:00+00:00;153.0;153.0;175.95;158.0;160.57
2023-01-02 20:00:00+00:00;141.67;141.71;162.92;144.5;145.63
2023-01-02 21:00:00+00:00;134.91;135.91;139.91;137.61;140.11
2023-01-02 22:00:00+00:00;124.22;124.22;127.78;126.7;127.28
2023-01-02 23:00:00+00:00;130.01;118.4;116.01;114.45;116.31
2023-01-03 00:00:00+00:00;120.0;115.0;114.9;113.0;108.91
2023-01-03 01:00:00+00:00;118.76;115.0;114.9;105.06;109.69
2023-01-03 02:00:00+00:00;115.0;114.9;112.01;104.6;105.52
2023-01-03 03:00:00+00:00;113.63;113.73;108.55;104.6;107.76
2023-01-03 04:00:00+00:00;116.27;115.0;114.82;105.81;117.18
2023-01-03 05:00:00+00:00;138.92;131.97;125.47;115.0;129.63
2023-01-03 06:00:00+00:00;159.92;150.03;130.59;95.2;120.56
2023-01-03 07:00:00+00:00;169.17;169.17;163.92;158.92;169.22
2023-01-03 08:00:00+00:00;171.18;171.18;163.43;155.25;167.22
2023-01-03 09:00:00+00:00;168.57;154.9;104.9;95.0;120.12
2023-01-03 10:00:00+00:00;169.49;136.37;104.8;104.4;97.46
2023-01-03 11:00:00+00:00;164.5;118.33;114.82;105.0;88.52
2023-01-03 12:00:00+00:00;160.91;115.0;112.55;105.0;101.08
2023-01-03 13:00:00+00:00;163.06;115.0;111.55;105.0;107.05
2023-01-03 14:00:00+00:00;166.79;115.0;105.0;104.6;105.84
2023-01-03 15:00:00+00:00;166.57;120.56;114.82;104.8;106.56
2023-01-03 16:00:00+00:00;170.82;156.3;144.8;114.8;130.51
2023-01-03 17:00:00+00:00;168.95;165.0;163.02;169.0;170.71
2023-01-03 18:00:00+00:00;160.99;160.99;156.01;156.01;169.98
2023-01-03 19:00:00+00:00;149.62;151.2;143.1;141.0;149.31
2023-01-03 20:00:00+00:00;130.63;148.42;127.01;124.92;132.14
2023-01-03 21:00:00+00:00;114.42;125.9;115.0;112.46;109.51
2023-01-03 22:00:00+00:00;92.48;114.99;105.0;105.0;90.97
2023-01-03 23:00:00+00:00;80.07;84.71;101.1;84.0;92.05
2023-01-04 00:00:00+00:00;68.44;90.0;95.5;90.09;90.23
2023-01-04 01:00:00+00:00;37.92;85.72;88.97;95.5;91.97
2023-01-04 02:00:00+00:00;0.0;84.2;86.47;84.21;90.97
