Fecha;Indicador_600;Indicador_1727
2025-01-01 01:00:00+01:00;6.24;109.84
2025-01-01 02:00:00+01:00;4.16;104.49
2025-01-01 03:00:00+01:00;3.28;97.35
2025-01-01 04:00:00+01:00;0.68;109.37
2025-01-01 05:00:00+01:00;0.0;98.33
2025-01-01 06:00:00+01:00;0.76;98.24
2025-01-01 07:00:00+01:00;0.79;94.67
2025-01-01 08:00:00+01:00;1.89;100.64
2025-01-01 09:00:00+01:00;7.5;81.11
2025-01-01 10:00:00+01:00;27.32;33.49
2025-01-01 11:00:00+01:00;37.49;37.48
2025-01-01 12:00:00+01:00;60.1;47.01
2025-01-01 13:00:00+01:00;63.32;50.49
2025-01-01 14:00:00+01:00;47.0;55.42
2025-01-01 15:00:00+01:00;50.1;43.36
2025-01-01 16:00:00+01:00;27.64;77.42
2025-01-01 17:00:00+01:00;79.97;130.46
2025-01-01 18:00:00+01:00;95.0;144.09
2025-01-01 19:00:00+01:00;95.0;148.21
2025-01-01 20:00:00+01:00;81.49;152.02
2025-01-01 21:00:00+01:00;68.96;146.57
2025-01-01 22:00:00+01:00;46.37;140.41
2025-01-01 23:00:00+01:00;38.0;112.47
2025-01-02 00:00:00+01:00;101.94;136.91
2025-01-02 01:00:00+01:00;146.95;105.88
2025-01-02 02:00:00+01:00;148.44;117.43
2025-01-02 03:00:00+01:00;138.0;108.65
2025-01-02 04:00:00+01:00;100.1;97.61
2025-01-02 05:00:00+01:00;107.47;106.61
2025-01-02 06:00:00+01:00;154.68;100.47
2025-01-02 07:00:00+01:00;174.7;143.72
2025-01-02 08:00:00+01:00;175.07;164.83
2025-01-02 09:00:00+01:00;165.37;155.48
2025-01-02 10:00:00+01:00;136.0;135.19
2025-01-02 11:00:00+01:00;111.93;129.44
2025-01-02 12:00:00+01:00;101.52;125.94
2025-01-02 13:00:00+01:00;105.6;120.05
2025-01-02 14:00:00+01:00;118.95;124.82
2025-01-02 15:00:00+01:00;130.11;124.2
2025-01-02 16:00:00+01:00;138.81;140.24
2025-01-02 17:00:00+01:00;153.0;152.57
2025-01-02 18:00:00+01:00;152.99;157.08
2025-01-02 19:00:00+01:00;128.0;152.24
2025-01-02 20:00:00+01:00;129.17;159.96
2025-01-02 21:00:00+01:00;120.0;152.78
2025-01-02 22:00:00+01:00;119.9;136.94
2025-01-02 23:00:00+01:00;116.07;125.69
2025-01-03 00:00:00+01:00;114.32;130.14
2025-01-03 01:00:00+01:00;115.0;104.0
2025-01-03 02:00:00+01:00;103.0;95.56
2025-01-03 03:00:00+01:00;98.0;89.14
2025-01-03 04:00:00+01:00;78.15;84.87
2025-01-03 05:00:00+01:00;71.0;91.03
2025-01-03 06:00:00+01:00;68.96;89.88
2025-01-03 07:00:00+01:00;86.0;107.81
2025-01-03 08:00:00+01:00;112.64;135.6
2025-01-03 09:00:00+01:00;134.51;130.31
2025-01-03 10:00:00+01:00;100.0;105.57
2025-01-03 11:00:00+01:00;86.6;86.97
2025-01-03 12:00:00+01:00;83.8;92.2
2025-01-03 13:00:00+01:00;97.2;78.6
2025-01-03 14:00:00+01:00;117.05;75.39
2025-01-03 15:00:00+01:00;149.99;78.23
2025-01-03 16:00:00+01:00;125.8;101.01
2025-01-03 17:00:00+01:00;149.93;121.99
2025-01-03 18:00:00+01:00;133.2;136.07
2025-01-03 19:00:00+01:00;124.3;136.22
2025-01-03 20:00:00+01:00;125.0;138.16
2025-01-03 21:00:00+01:00;155.2;126.94
2025-01-03 22:00:00+01:00;133.2;124.24
2025-01-03 23:00:00+01:00;192.7;119.68
2025-01-04 00:00:00+01:00;136.4;113.08
2025-01-04 01:00:00+01:00;130.39;106.79
2025-01-04 02:00:00+01:00;106.7;100.17
2025-01-04 03:00:00+01:00;99.0;98.9
2025-01-04 04:00:00+01:00;96.09;102.88
2025-01-04 05:00:00+01:00;102.22;105.01
2025-01-04 06:00:00+01:00;110.7;111.29
2025-01-04 07:00:00+01:00;120.02;121.4
2025-01-04 08:00:00+01:00;128.39;129.99
2025-01-04 09:00:00+01:00;130.75;129.66
2025-01-04 10:00:00+01:00;130.34;124.28
2025-01-04 11:00:00+01:00;128.29;111.24
2025-01-04 12:00:00+01:00;130.03;113.53
2025-01-04 13:00:00+01:00;129.85;98.97
2025-01-04 14:00:00+01:00;136.4;104.98
2025-01-04 15:00:00+01:00;138.76;99.84
2025-01-04 16:00:00+01:00;141.2;121.37
2025-01-04 17:00:00+01:00;149.83;134.55
2025-01-04 18:00:00+01:00;144.17;143.84
2025-01-04 19:00:00+01:00;138.38;141.86
2025-01-04 20:00:00+01:00;129.73;132.49
2025-01-04 21:00:00+01:00;123.07;126.45
2025-01-04 22:00:00+01:00;118.54;127.05
2025-01-04 23:00:00+01:00;109.61;113.07
2025-01-05 00:00:00+01:00;111.61;
2025-01-05 01:00:00+01:00;94.76;
2025-01-05 02:00:00+01:00;85.62;
2025-01-05 03:00:00+01:00;82.94;
2025-01-05 04:00:00+01:00;74.73;
2025-01-05 05:00:00+01:00;67.0;
2025-01-05 06:00:00+01:00;65.67;
2025-01-05 07:00:00+01:00;64.22;
2025-01-05 08:00:00+01:00;75.5;
2025-01-05 09:00:00+01:00;75.7;
2025-01-05 10:00:00+01:00;82.95;
2025-01-05 11:00:00+01:00;80.02;
2025-01-05 12:00:00+01:00;81.66;
2025-01-05 13:00:00+01:00;65.32;
2025-01-05 14:00:00+01:00;59.67;
2025-01-05 15:00:00+01:00;49.98;
2025-01-05 16:00:00+01:00;49.91;
2025-01-05 17:00:00+01:00;63.23;
2025-01-05 18:00:00+01:00;61.13;
2025-01-05 19:00:00+01:00;52.08;
2025-01-05 20:00:00+01:00;40.88;
2025-01-05 21:00:00+01:00;39.0;
2025-01-05 22:00:00+01:00;32.48;
2025-01-05 23:00:00+01:00;20.36;
2025-01-06 00:00:00+01:00;25.99;23.67
2025-01-06 01:00:00+01:00;9.65;14.45
2025-01-06 02:00:00+01:00;6.2;9.82
2025-01-06 03:00:00+01:00;2.77;0.61
2025-01-06 04:00:00+01:00;1.97;1.6
2025-01-06 05:00:00+01:00;3.69;8.49
2025-01-06 06:00:00+01:00;10.0;19.41
2025-01-06 07:00:00+01:00;45.54;47.24
2025-01-06 08:00:00+01:00;72.0;60.96
2025-01-06 09:00:00+01:00;77.03;57.22
2025-01-06 10:00:00+01:00;60.0;50.0
2025-01-06 11:00:00+01:00;40.28;49.09
2025-01-06 12:00:00+01:00;42.06;59.35
2025-01-06 13:00:00+01:00;45.06;74.99
2025-01-06 14:00:00+01:00;64.57;61.54
2025-01-06 15:00:00+01:00;77.94;51.23
2025-01-06 16:00:00+01:00;77.92;45.28
2025-01-06 17:00:00+01:00;102.91;68.24
2025-01-06 18:00:00+01:00;126.66;88.54
2025-01-06 19:00:00+01:00;119.95;96.5
2025-01-06 20:00:00+01:00;99.9;109.66
2025-01-06 21:00:00+01:00;79.94;107.34
2025-01-06 22:00:00+01:00;73.43;99.26
2025-01-06 23:00:00+01:00;50.96;57.48
2025-01-07 00:00:00+01:00;19.51;
2025-01-07 01:00:00+01:00;8.71;
2025-01-07 02:00:00+01:00;8.9;
2025-01-07 03:00:00+01:00;5.01;
2025-01-07 04:00:00+01:00;5.13;
2025-01-07 05:00:00+01:00;5.8;
2025-01-07 06:00:00+01:00;60.0;
2025-01-07 07:00:00+01:00;116.56;
2025-01-07 08:00:00+01:00;165.98;
2025-01-07 09:00:00+01:00;138.5;
2025-01-07 10:00:00+01:00;110.74;
2025-01-07 11:00:00+01:00;79.95;
2025-01-07 12:00:00+01:00;70.1;
2025-01-07 13:00:00+01:00;67.33;
2025-01-07 14:00:00+01:00;75.0;
2025-01-07 15:00:00+01:00;84.9;
2025-01-07 16:00:00+01:00;125.58;
2025-01-07 17:00:00+01:00;160.7;
2025-01-07 18:00:00+01:00;173.86;
2025-01-07 19:00:00+01:00;127.5;
2025-01-07 20:00:00+01:00;102.9;
2025-01-07 21:00:00+01:00;97.6;
2025-01-07 22:00:00+01:00;82.2;
2025-01-07 23:00:00+01:00;80.01;
2025-01-08 00:00:00+01:00;66.19;79.47
2025-01-08 01:00:00+01:00;52.96;71.9
2025-01-08 02:00:00+01:00;50.17;64.57
2025-01-08 03:00:00+01:00;49.9;57.61
2025-01-08 04:00:00+01:00;52.8;55.79
2025-01-08 05:00:00+01:00;68.93;71.81
2025-01-08 06:00:00+01:00;75.1;88.61
2025-01-08 07:00:00+01:00;120.46;109.83
2025-01-08 08:00:00+01:00;141.04;124.62
2025-01-08 09:00:00+01:00;146.77;114.82
2025-01-08 10:00:00+01:00;125.6;89.13
2025-01-08 11:00:00+01:00;108.63;76.26
2025-01-08 12:00:00+01:00;105.87;78.86
2025-01-08 13:00:00+01:00;102.37;88.66
2025-01-08 14:00:00+01:00;110.28;81.86
2025-01-08 15:00:00+01:00;127.97;81.14
2025-01-08 16:00:00+01:00;137.31;95.74
2025-01-08 17:00:00+01:00;157.35;104.93
2025-01-08 18:00:00+01:00;162.0;103.18
2025-01-08 19:00:00+01:00;146.66;114.41
2025-01-08 20:00:00+01:00;134.87;108.62
2025-01-08 21:00:00+01:00;125.11;98.72
2025-01-08 22:00:00+01:00;114.4;93.01
2025-01-08 23:00:00+01:00;100.5;85.17
2025-01-09 00:00:00+01:00;93.56;61.38
2025-01-09 01:00:00+01:00;91.23;51.73
2025-01-09 02:00:00+01:00;87.54;52.1
