Fecha;Indicador_600;Indicador_612;Indicador_613;Indicador_1727;Indicador_614
2025-01-01 00:00:00+00:00;6.24;126.59;122.43;109.84;
2025-01-01 01:00:00+00:00;4.16;123.92;108.3;104.49;
2025-01-01 02:00:00+00:00;3.28;121.42;108.09;97.35;
2025-01-01 03:00:00+00:00;0.68;115.49;108.3;109.37;
2025-01-01 04:00:00+00:00;0.0;108.09;110.81;98.33;
2025-01-01 05:00:00+00:00;0.76;109.3;112.3;98.24;
2025-01-01 06:00:00+00:00;0.79;105.12;96.0;94.67;
2025-01-01 07:00:00+00:00;1.89;106.27;102.0;100.64;
2025-01-01 08:00:00+00:00;7.5;95.0;70.0;81.11;
2025-01-01 09:00:00+00:00;27.32;35.0;40.0;33.49;
2025-01-01 10:00:00+00:00;37.49;20.21;70.0;37.48;
2025-01-01 11:00:00+00:00;60.1;25.99;53.88;47.01;57.54
2025-01-01 12:00:00+00:00;63.32;30.0;65.0;50.49;60.0
2025-01-01 13:00:00+00:00;47.0;25.5;104.5;55.42;100.0
2025-01-01 14:00:00+00:00;50.1;11.75;72.44;43.36;67.67
2025-01-01 15:00:00+00:00;27.64;75.6;87.0;77.42;81.1
2025-01-01 16:00:00+00:00;79.97;131.8;125.4;130.46;130.39
2025-01-01 17:00:00+00:00;95.0;152.78;147.0;144.09;149.72
2025-01-01 18:00:00+00:00;95.0;152.78;151.78;148.21;153.24
2025-01-01 19:00:00+00:00;81.49;153.5;153.5;152.02;157.89
2025-01-01 20:00:00+00:00;68.96;152.78;151.69;146.57;153.51
2025-01-01 21:00:00+00:00;46.37;151.2;152.75;140.41;147.75
2025-01-01 22:00:00+00:00;38.0;137.62;138.91;112.47;145.61
2025-01-01 23:00:00+00:00;101.94;133.28;124.72;136.91;
2025-01-02 00:00:00+00:00;146.95;113.17;117.14;105.88;
2025-01-02 01:00:00+00:00;148.44;103.01;113.0;117.43;
2025-01-02 02:00:00+00:00;138.0;101.46;110.02;108.65;
2025-01-02 03:00:00+00:00;100.1;101.32;106.82;97.61;
2025-01-02 04:00:00+00:00;107.47;103.08;108.11;106.61;
2025-01-02 05:00:00+00:00;154.68;124.05;113.0;100.47;
2025-01-02 06:00:00+00:00;174.7;147.2;136.96;143.72;
2025-01-02 07:00:00+00:00;175.07;156.03;165.88;164.83;
2025-01-02 08:00:00+00:00;165.37;152.16;160.44;155.48;
2025-01-02 09:00:00+00:00;136.0;131.36;133.16;135.19;
2025-01-02 10:00:00+00:00;111.93;125.87;126.71;129.44;
2025-01-02 11:00:00+00:00;101.52;125.72;122.97;125.94;124.75
2025-01-02 12:00:00+00:00;105.6;119.3;118.2;120.05;122.22
2025-01-02 13:00:00+00:00;118.95;125.39;124.65;124.82;127.0
2025-01-02 14:00:00+00:00;130.11;130.2;130.11;124.2;127.11
2025-01-02 15:00:00+00:00;138.81;140.61;139.5;140.24;142.22
2025-01-02 16:00:00+00:00;153.0;157.3;154.4;152.57;156.4
2025-01-02 17:00:00+00:00;152.99;160.4;159.18;157.08;165.77
2025-01-02 18:00:00+00:00;128.0;163.99;161.99;152.24;163.24
2025-01-02 19:00:00+00:00;129.17;163.12;162.1;159.96;163.35
2025-01-02 20:00:00+00:00;120.0;158.34;157.88;152.78;163.0
2025-01-02 21:00:00+00:00;119.9;148.16;143.0;136.94;154.43
2025-01-02 22:00:00+00:00;116.07;140.0;139.0;125.69;143.99
2025-01-02 23:00:00+00:00;114.32;123.5;124.85;130.14;
2025-01-03 00:00:00+00:00;115.0;114.08;99.42;104.0;
2025-01-03 01:00:00+00:00;103.0;100.11;93.93;95.56;
2025-01-03 02:00:00+00:00;98.0;100.0;91.09;89.14;
2025-01-03 03:00:00+00:00;78.15;93.87;88.16;84.87;
2025-01-03 04:00:00+00:00;71.0;94.75;91.77;91.03;
2025-01-03 05:00:00+00:00;68.96;101.67;95.6;89.88;
2025-01-03 06:00:00+00:00;86.0;122.94;105.2;107.81;
2025-01-03 07:00:00+00:00;112.64;139.3;137.22;135.6;
2025-01-03 08:00:00+00:00;134.51;136.1;134.53;130.31;
2025-01-03 09:00:00+00:00;100.0;127.52;121.47;105.57;
2025-01-03 10:00:00+00:00;86.6;121.04;110.81;86.97;
2025-01-03 11:00:00+00:00;83.8;109.41;102.16;92.2;99.04
2025-01-03 12:00:00+00:00;97.2;102.33;96.84;78.6;91.3
2025-01-03 13:00:00+00:00;117.05;100.52;95.05;75.39;86.2
2025-01-03 14:00:00+00:00;149.99;105.22;98.22;78.23;88.18
2025-01-03 15:00:00+00:00;125.8;121.04;108.17;101.01;101.57
2025-01-03 16:00:00+00:00;149.93;140.13;135.14;121.99;132.15
2025-01-03 17:00:00+00:00;133.2;149.47;139.0;136.07;138.0
2025-01-03 18:00:00+00:00;124.3;151.25;139.75;136.22;137.0
2025-01-03 19:00:00+00:00;125.0;151.25;136.12;138.16;128.29
2025-01-03 20:00:00+00:00;155.2;149.12;133.12;126.94;119.3
2025-01-03 21:00:00+00:00;133.2;144.2;127.58;124.24;121.99
2025-01-03 22:00:00+00:00;192.7;134.42;126.89;119.68;123.13
2025-01-03 23:00:00+00:00;136.4;109.06;112.06;113.08;
2025-01-04 00:00:00+00:00;130.39;101.0;103.8;106.79;
2025-01-04 01:00:00+00:00;106.7;95.53;95.48;100.17;
2025-01-04 02:00:00+00:00;99.0;92.7;91.38;98.9;
2025-01-04 03:00:00+00:00;96.09;94.79;92.62;102.88;
2025-01-04 04:00:00+00:00;102.22;102.63;99.0;105.01;
2025-01-04 05:00:00+00:00;110.7;107.41;107.16;111.29;
2025-01-04 06:00:00+00:00;120.02;111.7;115.0;121.4;
2025-01-04 07:00:00+00:00;128.39;120.59;121.26;129.99;
2025-01-04 08:00:00+00:00;130.75;121.55;126.75;129.66;
2025-01-04 09:00:00+00:00;130.34;118.99;127.15;124.28;
2025-01-04 10:00:00+00:00;128.29;95.0;114.0;111.24;
2025-01-04 11:00:00+00:00;130.03;85.0;106.83;113.53;100.52
2025-01-04 12:00:00+00:00;129.85;83.27;102.99;98.97;98.72
2025-01-04 13:00:00+00:00;136.4;89.22;107.52;104.98;104.99
2025-01-04 14:00:00+00:00;138.76;92.85;97.35;99.84;101.35
2025-01-04 15:00:00+00:00;141.2;119.47;120.46;121.37;129.25
2025-01-04 16:00:00+00:00;149.83;133.64;133.0;134.55;134.78
2025-01-04 17:00:00+00:00;144.17;140.27;141.76;143.84;143.26
2025-01-04 18:00:00+00:00;138.38;137.12;136.89;141.86;142.73
2025-01-04 19:00:00+00:00;129.73;127.49;126.43;132.49;133.14
2025-01-04 20:00:00+00:00;123.07;122.83;122.7;126.45;128.32
2025-01-04 21:00:00+00:00;118.54;119.08;118.0;127.05;126.1
2025-01-04 22:00:00+00:00;109.61;108.93;110.0;113.07;119.8
2025-01-04 23:00:00+00:00;111.61;89.99;74.47;;
2025-01-05 00:00:00+00:00;94.76;65.5;56.92;;
2025-01-05 01:00:00+00:00;85.62;58.61;45.0;;
2025-01-05 02:00:00+00:00;82.94;40.5;31.74;;
2025-01-05 03:00:00+00:00;74.73;36.91;28.0;;
2025-01-05 04:00:00+00:00;67.0;27.86;20.0;;
2025-01-05 05:00:00+00:00;65.67;25.6;15.0;;
2025-01-05 06:00:00+00:00;64.22;35.0;29.0;;
2025-01-05 07:00:00+00:00;75.5;44.02;29.06;;
2025-01-05 08:00:00+00:00;75.7;47.0;34.22;;
2025-01-05 09:00:00+00:00;82.95;49.81;36.0;;
2025-01-05 10:00:00+00:00;80.02;46.95;45.86;;
2025-01-05 11:00:00+00:00;81.66;49.64;46.74;;36.64
2025-01-05 12:00:00+00:00;65.32;38.18;41.94;;31.56
2025-01-05 13:00:00+00:00;59.67;33.9;33.0;;24.03
2025-01-05 14:00:00+00:00;49.98;32.99;30.8;;23.0
