ID,Nombre
1,Generación programada PBF Hidráulica UGH
2,Generación programada PBF Hidráulica no UGH
3,Generación programada PBF Turbinación bombeo
4,Generación programada PBF Nuclear
5,Generación programada PBF Hulla antracita Anexo II RD 134/2010
6,Generación programada PBF Hulla sub-bituminosa Anexo II RD 134/2010
7,Generación programada PBF Hulla antracita
8,Generación programada PBF Hulla sub-bituminosa
9,Generación programada PBF Ciclo combinado
10,Generación programada PBF Fuel
11,Generación programada PBF Gas Natural
12,Generación programada PBF Eólica terrestre
13,Generación programada PBF Eólica marina
14,Generación programada PBF Solar fotovoltaica
15,Generación programada PBF Solar térmica
16,Generación programada PBF Océano y geotérmica
17,Generación programada PBF Gas Natural Cogeneración
18,Generación programada PBF Derivados del petróleo ó carbón
19,Generación programada PBF Subproductos minería
20,Generación programada PBF Energía residual
21,Generación programada PBF Biomasa
22,Generación programada PBF Biogás
23,Generación programada PBF Residuos domésticos y similares
24,Generación programada PBF Residuos varios
25,Generación programada PBF Consumo bombeo
26,Generación programada PBF Enlace Baleares
27,Generación programada PBF Genéricas
28,Generación programada PBF Importación Francia
29,Generación programada PBF Importación Portugal
30,Generación programada PBF Importación Marruecos
31,Generación programada PBF Importación Andorra
32,Generación programada PBF Exportación Francia
33,Generación programada PBF Exportación Portugal
34,Generación programada PBF Exportación Marruecos
35,Generación programada PBF Exportación Andorra
36,Generación programada PVP Hidráulica UGH
37,Generación programada PVP Hidráulica no UGH
38,Generación programada PVP Turbinación bombeo
39,Generación programada PVP Nuclear
40,Generación programada PVP Hulla antracita Anexo II RD 134/2010
41,Generación programada PVP Hulla sub-bituminosa Anexo II RD 134/2010
42,Generación programada PVP Hulla antracita
43,Generación programada PVP Hulla sub-bituminosa
44,Generación programada PVP Ciclo combinado
45,Generación programada PVP Fuel
46,Generación programada PVP Gas Natural
47,Generación programada PVP Eólica terrestre
48,Generación programada PVP Eólica marina
49,Generación programada PVP Solar fotovoltaica
50,Generación programada PVP Solar térmica
51,Generación programada PVP Océano y geotérmica
52,Generación programada PVP Gas Natural Cogeneración
53,Generación programada PVP Derivados del petróleo ó carbón
54,Generación programada PVP Subproductos minería
55,Generación programada PVP Energía residual
56,Generación programada PVP Biomasa
57,Generación programada PVP Biogás
58,Generación programada PVP Residuos domésticos y similares
59,Generación programada PVP Residuos varios
60,Generación programada PVP Consumo bombeo
61,Generación programada PVP Enlace Baleares
62,Generación programada PVP Genéricas
63,Generación programada PVP Importación Francia
64,Generación programada PVP Importación Portugal
65,Generación programada PVP Importación Marruecos
66,Generación programada PVP Importación Andorra
67,Generación programada PVP Exportación Francia
68,Generación programada PVP Exportación Portugal
69,Generación programada PVP Exportación Marruecos
70,Generación programada PVP Exportación Andorra
71,Generación programada P48 Hidráulica UGH
72,Generación programada P48 Hidráulica no UGH
73,Generación programada P48 Turbinación bombeo
74,Generación programada P48 Nuclear
75,Generación programada P48 Hulla antracita Anexo II RD 134/2010
76,Generación programada P48 Hulla sub-bituminosa Anexo II RD 134/2010
77,Generación programada P48 Hulla antracita
78,Generación programada P48 Hulla sub-bituminosa
79,Generación programada P48 Ciclo combinado
80,Generación programada P48 Fuel
81,Generación programada P48 Gas Natural
82,Generación programada P48 Eólica terrestre
83,Generación programada P48 Eólica marina
84,Generación programada P48 Solar fotovoltaica
85,Generación programada P48 Solar térmica
86,Generación programada P48 Océano y geotérmica
87,Generación programada P48 Gas Natural Cogeneración
88,Generación programada P48 Derivados del petróleo ó carbón
89,Generación programada P48 Subproductos minería
90,Generación programada P48 Energía residual
91,Generación programada P48 Biomasa
92,Generación programada P48 Biogás
93,Generación programada P48 Residuos domésticos y similares
94,Generación programada P48 Residuos varios
95,Generación programada P48 Consumo bombeo
96,Generación programada P48 Enlace Baleares
97,Generación programada P48 Genéricas
98,Generación programada P48 Importación Francia
99,Generación programada P48 Importación Portugal
100,Generación programada P48 Importación Marruecos
101,Generación programada P48 Importación Andorra
102,Generación programada P48 Exportación Francia
